payment_id,order_id,payment_date,amount,payment_method
141,141,2024-03-17 11:45:15.354101,4607.05,cash
142,142,2023-12-25 21:40:13.260778,5219.51,cash
143,143,2023-11-06 19:29:52.430580,4121.02,cash
144,144,2024-05-19 12:40:35.756351,5231.48,card
145,145,2024-01-21 08:58:22.552543,3994.71,cash
146,146,2024-07-06 11:29:09.433258,5215.84,cash
147,147,2023-10-18 03:20:33.511629,3842.35,cash
148,148,2024-01-09 04:41:00.024014,1832.12,card
149,149,2024-08-02 15:07:31.509357,13026.34,cash
150,150,2024-09-06 03:27:15.611154,3713.75,cash
151,151,2024-03-15 02:15:06.948376,4290.08,cash
152,152,2024-09-19 01:08:29.956830,0,card
153,153,2024-09-05 16:43:41.850952,8112.96,cash
154,154,2024-05-07 13:36:23.969893,8453.64,card
155,155,2024-07-26 10:15:17.110438,4489.35,card
156,156,2024-07-24 03:44:33.521482,1859.19,card
157,157,2024-05-19 16:25:56.908108,4752.14,cash
158,158,2023-10-22 20:23:01.659148,491.48,card
159,159,2024-08-24 17:05:22.870079,1420.74,cash
160,160,2024-05-04 00:51:14.690360,2234.16,card
161,161,2024-02-11 12:12:18.020756,955.22,card
162,162,2024-02-17 15:58:55.605145,2249.39,card
163,163,2024-09-16 11:14:53.857204,10501.88,cash
164,164,2023-12-06 04:28:28.754808,2292.05,cash
165,165,2023-10-30 17:58:12.778115,1588.6,cash
166,166,2024-07-31 00:37:00.145929,7467.32,cash
167,167,2024-07-25 18:57:27.181313,8380.32,cash
168,168,2024-07-01 00:00:15.046952,7729.96,card
169,169,2024-08-13 04:21:45.804567,7165.15,cash
170,170,2023-11-13 02:46:12.855742,7006.71,card
171,171,2024-03-01 01:59:27.138103,5672.62,card
172,172,2024-01-09 12:10:59.625613,2049.63,cash
173,173,2024-04-18 16:12:42.228771,5651.32,card
174,174,2023-10-11 00:17:04.930084,806.18,cash
175,175,2024-02-15 12:01:40.690546,1267.09,cash
176,176,2023-12-22 22:03:12.062177,4155.12,card
177,177,2023-11-18 03:36:02.775329,4009.31,cash
178,178,2024-07-14 09:40:23.895672,341.63,cash
179,179,2024-02-02 23:11:06.324250,8550.36,cash
180,180,2024-06-17 03:53:00.134132,6034.97,card
181,181,2024-03-01 19:32:55.981143,4802.4,card
182,182,2024-01-04 08:56:46.295385,8066.39,cash
183,183,2024-01-23 06:00:09.543340,7189.7,cash
184,184,2024-07-11 04:23:19.032202,0,card
185,185,2024-04-07 00:49:06.684569,8040.77,cash
186,186,2024-09-21 18:06:14.458053,745.0,cash
187,187,2024-09-13 14:16:40.506435,1420.94,card
188,188,2024-04-11 12:27:03.934744,4803.02,cash
189,189,2024-04-23 04:00:56.942949,9463.37,card
190,190,2024-09-23 15:57:56.803082,5722.52,cash
191,191,2023-10-10 05:30:24.461214,7102.68,card
192,192,2024-07-01 19:41:35.381299,4021.9,card
193,193,2024-03-18 04:16:05.165643,7420.77,card
194,194,2024-07-26 16:49:40.384793,5796.71,card
195,195,2024-07-13 18:56:05.566051,3493.99,card
196,196,2024-10-02 22:08:02.966360,3297.29,card
197,197,2023-12-23 03:09:29.764530,2237.1,cash
198,198,2024-07-03 09:54:16.309949,5775.97,cash
199,199,2024-08-09 01:10:46.692244,2747.9,cash
200,200,2023-12-26 14:47:27.160778,908.2,cash
201,201,2023-11-09 01:52:00.943455,2971.29,cash
202,202,2024-10-03 05:08:48.416256,1655.03,cash
203,203,2024-08-09 06:15:58.085265,8318.08,card
204,204,2024-08-30 00:37:19.132539,0,cash
205,205,2024-05-22 23:37:23.582436,8938.79,card
206,206,2024-01-21 00:46:37.667006,2329.35,card
207,207,2023-10-15 12:40:26.639776,3189.99,card
208,208,2024-05-14 08:08:57.765595,184.78,cash
209,209,2024-05-22 01:08:30.193071,3158.01,card
210,210,2024-07-04 02:53:19.607393,2105.84,cash
211,211,2023-11-10 09:22:14.264382,0,cash
212,212,2024-06-20 12:43:32.723218,13166.38,cash
213,213,2023-10-30 07:28:28.256647,5324.82,card
214,214,2024-09-18 19:07:29.446704,6251.83,card
215,215,2024-02-01 04:01:34.106173,263.2,cash
216,216,2024-06-07 23:24:36.977762,4712.46,card
217,217,2023-12-28 20:46:36.936816,456.71,card
218,218,2023-12-29 09:20:39.296076,3361.84,cash
219,219,2024-10-06 07:29:54.797652,4824.8,cash
220,220,2024-02-06 08:27:02.928179,1399.95,card
221,221,2023-12-19 01:55:29.671370,3161.88,cash
222,222,2024-08-23 09:13:40.329927,1943.82,cash
223,223,2023-11-20 23:03:08.608210,10390.78,card
224,224,2023-10-12 05:27:42.073505,7059.94,card
225,225,2024-08-21 15:48:45.707604,3888.26,card
226,226,2024-03-30 05:26:20.560826,2043.99,cash
227,227,2024-01-05 05:12:15.576646,1169.01,card
228,228,2024-08-01 12:33:25.963428,1496.16,cash
229,229,2024-03-12 12:54:16.294987,0,cash
230,230,2024-10-05 19:58:05.851173,973.26,card
231,231,2024-02-17 22:04:48.494077,3056.69,cash
232,232,2024-09-06 17:42:45.871897,2282.46,cash
233,233,2024-05-22 22:08:12.433389,856.55,card
234,234,2024-02-21 04:49:08.625736,1760.79,cash
235,235,2024-03-06 16:23:01.978337,0,card
236,236,2024-03-15 23:45:23.983339,11348.87,cash
237,237,2023-12-14 03:05:02.795710,2017.26,cash
238,238,2024-02-20 18:25:35.428366,190.9,card
239,239,2024-09-01 16:49:54.310295,8049.65,card
240,240,2023-12-28 00:38:38.307763,3368.26,cash
241,241,2023-12-14 18:23:58.728389,3693.34,cash
242,242,2023-12-02 14:24:55.043504,2275.29,cash
243,243,2024-01-12 04:34:03.719540,1998.9,cash
244,244,2023-11-22 04:29:02.675835,6675.13,cash
245,245,2024-01-07 03:23:44.308090,0,card
246,246,2024-08-13 09:37:18.983315,2035.25,cash
247,247,2024-03-24 19:32:41.326262,7267.92,card
248,248,2023-11-08 08:29:15.107133,3473.58,card
249,249,2024-04-16 23:24:05.759199,266.84,cash
250,250,2023-12-22 10:07:50.392932,852.36,card
251,251,2024-02-22 18:19:45.548399,5982.58,card
252,252,2024-06-18 07:12:33.574894,1944.58,card
253,253,2023-10-08 22:30:47.985285,999.28,cash
254,254,2024-03-15 02:47:16.905010,4967.04,card
255,255,2023-12-28 19:48:03.928296,1668.0,card
256,256,2024-03-17 03:57:01.088076,7049.36,cash
257,257,2024-02-27 07:14:08.292100,10012.77,card
258,258,2024-09-06 22:33:39.110917,161.83,card
259,259,2024-04-23 05:21:32.290910,67.63,card
260,260,2024-02-25 12:19:08.870820,7561.95,card
261,261,2023-12-22 03:30:38.358778,413.12,card
262,262,2024-01-09 22:37:23.785584,3966.35,cash
263,263,2024-08-07 10:32:39.833762,8341.79,card
264,264,2024-04-28 20:14:11.748372,10339.28,cash
265,265,2024-02-13 07:44:42.595003,1523.92,card
266,266,2024-07-06 15:15:13.853689,3601.34,card
267,267,2023-11-09 09:01:34.774208,3354.22,cash
268,268,2024-02-19 05:09:34.310970,3302.67,cash
269,269,2024-05-23 02:10:30.441359,2646.28,card
270,270,2024-03-19 18:03:16.170000,3248.11,card
271,271,2024-02-23 02:43:24.153709,920.8,cash
272,272,2024-01-04 04:56:09.671469,1490.25,card
273,273,2024-07-18 22:19:19.667637,1627.02,card
274,274,2023-11-20 01:09:44.846598,2975.27,card
275,275,2023-11-20 09:47:52.006767,10686.35,cash
276,276,2023-12-02 10:03:34.537122,1566.78,card
277,277,2024-09-13 01:34:12.918896,1876.36,cash
278,278,2023-12-26 05:09:19.299920,3303.4,cash
279,279,2023-11-09 02:53:43.586023,5156.73,card
280,280,2024-01-16 15:10:07.695322,2873.7,cash
281,281,2024-02-25 08:05:01.734874,4886.79,cash
282,282,2024-08-15 03:30:10.476924,4857.53,card
283,283,2024-07-28 18:04:12.109182,3196.77,cash
284,284,2023-12-12 15:11:02.585797,6375.64,cash
285,285,2024-09-16 14:59:28.140880,7430.9,cash
286,286,2024-08-13 05:51:36.146141,3078.42,cash
287,287,2024-09-30 03:35:17.954642,4415.1,cash
288,288,2024-03-11 22:45:57.967355,9022.45,card
289,289,2024-06-24 10:26:42.945278,2825.64,card
290,290,2023-10-22 20:54:22.062423,1694.69,cash
291,291,2024-09-19 02:02:51.817336,1586.68,cash
292,292,2023-10-14 19:57:41.129688,111.48,card
293,293,2024-08-18 02:12:26.404508,639.5,cash
294,294,2023-10-23 21:46:05.520495,12754.53,card
295,295,2023-12-28 21:33:13.464753,799.84,card
296,296,2023-10-19 06:22:08.356707,2054.12,cash
297,297,2024-01-17 06:13:56.312409,8477.7,card
298,298,2023-10-27 22:02:15.429590,5491.9,cash
299,299,2024-06-24 04:43:45.458985,4426.91,cash
300,300,2024-06-02 15:28:35.664296,6880.26,card
301,301,2024-07-23 12:43:26.406896,2646.75,card
302,302,2024-09-22 16:58:22.114631,63.04,cash
303,303,2024-05-26 08:18:25.080783,3726.12,card
304,304,2024-08-12 05:32:52.279856,7035.2,cash
305,305,2024-08-07 02:21:17.497696,4053.94,cash
306,306,2023-12-15 14:57:04.589627,3191.44,card
307,307,2023-11-23 01:04:06.026577,1977.62,cash
308,308,2023-11-01 02:34:43.181678,0,cash
309,309,2024-08-16 11:12:57.540632,6200.65,card
310,310,2024-01-27 12:59:32.669037,3627.87,card
311,311,2023-10-21 09:55:52.812353,0,cash
312,312,2024-01-11 22:36:01.339614,5873.51,card
313,313,2023-11-19 07:13:07.280323,4714.15,cash
314,314,2024-07-08 10:03:12.744004,909.93,cash
315,315,2024-06-01 15:08:48.185099,0,cash
316,316,2024-06-27 19:42:10.282814,13408.15,cash
317,317,2024-03-19 06:26:15.922826,0,cash
318,318,2024-06-16 05:28:27.288778,2874.85,card
319,319,2024-01-06 07:14:56.011796,3915.97,card
320,320,2024-06-06 16:53:04.402235,3340.79,cash
321,321,2023-12-30 19:54:37.614171,9729.83,cash
322,322,2024-04-27 08:37:48.477304,3038.22,card
323,323,2023-10-27 21:49:52.102125,7605.95,cash
324,324,2023-12-01 04:36:39.784646,3394.87,cash
325,325,2023-12-17 13:47:53.664650,5026.03,cash
326,326,2024-02-15 08:16:54.739561,2220.35,card
327,327,2024-03-04 20:58:09.136402,12425.72,card
328,328,2024-02-12 02:32:51.593434,4264.28,card
329,329,2024-07-18 14:04:40.190310,10875.43,card
330,330,2024-09-01 07:09:32.488201,4766.99,card
331,331,2024-02-26 01:13:22.276641,2846.96,card
332,332,2024-08-07 01:55:52.892595,199.14,cash
333,333,2023-10-26 07:08:05.164910,3249.98,cash
334,334,2024-05-02 13:33:48.150956,0,card
335,335,2024-06-23 08:09:20.920028,2188.68,cash
336,336,2023-11-03 00:23:19.871999,6691.4,cash
337,337,2024-09-17 01:08:03.597967,3291.1,card
338,338,2024-01-30 19:14:31.268208,1433.57,card
339,339,2024-07-14 05:43:12.861642,3764.65,card
340,340,2023-12-09 13:06:47.189497,8527.45,cash
341,341,2024-02-15 05:06:07.344840,4742.3,cash
342,342,2024-01-06 23:36:19.255078,3750.45,cash
343,343,2024-05-22 01:47:11.068257,2636.08,cash
344,344,2023-11-24 10:20:48.399924,9333.12,card
345,345,2024-03-15 11:30:30.707655,0,cash
346,346,2024-05-26 05:07:20.131809,929.31,cash
347,347,2024-05-09 14:03:21.989758,431.26,cash
348,348,2024-09-12 06:59:38.586030,10010.88,card
349,349,2024-03-17 16:51:30.332302,0,card
350,350,2024-09-02 19:16:16.089784,1667.76,card
351,351,2023-11-04 02:44:06.972051,0,cash
352,352,2024-02-10 20:45:04.921975,3035.32,card
353,353,2023-11-01 08:12:38.727523,1596.47,cash
354,354,2024-07-26 17:56:01.274215,2026.31,card
355,355,2024-09-06 13:00:30.534681,3775.35,cash
356,356,2024-08-12 18:32:15.346447,4360.27,cash
357,357,2023-11-19 04:42:13.309977,8662.32,cash
358,358,2024-02-22 06:00:22.096547,2856.76,card
359,359,2024-03-24 01:17:49.627046,935.32,cash
360,360,2024-02-20 21:42:46.632986,345.81,card
361,361,2024-02-22 12:16:33.586206,6151.88,card
362,362,2024-04-20 05:48:47.933430,5064.21,cash
363,363,2024-06-18 20:49:20.850200,0,card
364,364,2024-05-23 10:53:01.868165,5392.8,cash
365,365,2024-03-06 09:35:54.708147,5628.21,card
366,366,2023-12-23 15:15:58.257865,3472.75,cash
367,367,2023-10-21 08:31:42.864073,672.42,cash
368,368,2024-05-24 01:27:09.364429,10137.76,cash
369,369,2024-08-04 16:00:34.293175,11551.22,card
370,370,2024-01-03 19:09:51.756258,2062.87,card
371,371,2024-04-08 18:38:48.119330,3951.01,cash
372,372,2024-03-16 17:29:49.891819,10812.81,cash
373,373,2024-03-05 03:16:37.527571,6966.11,cash
374,374,2023-11-15 19:36:50.260306,0,cash
375,375,2023-11-06 15:30:13.906607,4947.56,cash
376,376,2024-09-22 19:57:55.541839,2179.85,card
377,377,2024-02-20 11:01:52.806188,1605.41,cash
378,378,2024-08-15 17:25:43.456418,3463.32,cash
379,379,2024-09-04 00:31:56.088242,5682.03,cash
380,380,2024-10-06 02:07:50.840853,0,cash
381,381,2024-06-01 17:42:33.364662,1597.26,card
382,382,2024-01-07 22:09:04.217885,2596.26,card
383,383,2024-03-03 04:49:25.348994,0,card
384,384,2024-07-01 22:54:42.163704,703.23,card
385,385,2024-03-30 11:32:12.707072,3453.6,cash
386,386,2023-12-10 19:09:58.425724,0,card
387,387,2024-09-10 14:29:45.409966,1128.4,card
388,388,2023-10-15 17:59:12.080352,4185.07,card
389,389,2024-09-03 20:02:26.889222,1520.13,cash
390,390,2023-12-03 21:31:50.334195,9044.04,card
391,391,2024-04-05 23:15:20.863501,1038.91,cash
392,392,2024-04-06 00:29:02.550912,5046.91,cash
393,393,2024-01-09 11:58:17.157917,3353.55,card
394,394,2024-08-08 08:25:14.513029,1778.86,card
395,395,2024-05-21 05:54:49.729917,12815.72,cash
396,396,2023-12-31 03:47:31.903155,5100.39,cash
397,397,2023-12-01 07:28:13.202776,13461.74,cash
398,398,2023-12-22 20:14:35.832118,3835.54,cash
399,399,2024-05-05 23:14:04.977695,5710.28,cash
400,400,2024-01-24 01:19:34.934298,1437.64,card
401,401,2024-02-10 14:32:38.623940,1166.94,card
402,402,2023-11-18 02:57:41.374619,4966.84,card
403,403,2023-12-14 11:52:30.773316,6298.13,cash
404,404,2024-02-09 19:01:27.139834,3668.83,cash
405,405,2024-03-19 02:33:33.602404,5739.47,card
406,406,2024-06-04 14:32:17.114842,3177.59,card
407,407,2024-09-18 23:38:36.820729,267.03,cash
408,408,2024-02-28 18:25:01.393523,952.86,card
409,409,2024-02-13 08:55:30.605849,2696.38,card
410,410,2024-01-14 02:21:39.694344,6933.23,cash
411,411,2024-04-13 00:36:37.432924,2635.37,card
412,412,2023-10-25 17:55:16.220153,4747.44,card
413,413,2024-01-07 19:55:39.531115,1966.31,card
414,414,2024-06-03 02:14:24.089509,7839.19,card
415,415,2024-07-24 08:24:12.905231,8967.95,cash
416,416,2024-08-08 13:35:44.289701,1220.89,card
417,417,2024-05-23 12:28:01.882648,1397.26,cash
418,418,2024-01-13 12:59:27.869642,1552.49,card
419,419,2024-07-25 10:18:57.530298,1524.64,cash
420,420,2023-12-31 05:52:03.855736,3371.51,cash
421,421,2024-07-07 10:23:41.175246,3593.32,cash
422,422,2024-01-19 19:17:01.427003,6527.41,card
423,423,2024-06-23 19:38:10.261631,8032.65,cash
424,424,2024-03-22 19:45:37.005751,5640.33,cash
425,425,2024-05-25 11:51:58.421979,6629.18,cash
426,426,2023-11-08 04:53:12.925773,2215.55,cash
427,427,2023-10-23 05:33:53.912139,6612.29,cash
428,428,2024-07-20 08:46:05.112687,5088.99,card
429,429,2024-02-09 03:21:28.083775,1345.88,cash
430,430,2024-01-17 11:03:27.459646,67.1,card
431,431,2024-08-09 21:27:38.148882,2666.81,cash
432,432,2024-09-02 17:28:31.615185,4699.98,card
433,433,2024-08-19 06:24:40.145396,2489.69,cash
434,434,2023-12-13 07:09:22.708320,509.49,cash
435,435,2024-07-06 18:39:46.435606,0,cash
436,436,2024-06-14 06:46:10.403390,5555.48,card
437,437,2024-10-05 15:53:03.848410,10953.33,cash
438,438,2024-01-14 14:03:03.892725,856.8,card
439,439,2024-02-11 12:09:15.936527,5874.32,card
440,440,2023-11-23 09:08:24.433108,8867.48,card
441,441,2024-09-14 13:58:54.436119,152.8,cash
442,442,2024-01-09 01:50:22.135631,1008.01,card
443,443,2024-02-25 19:41:00.544116,2169.74,cash
444,444,2024-06-09 14:24:26.966334,2375.96,cash
445,445,2023-10-20 14:03:11.378477,1395.46,cash
446,446,2024-04-12 00:16:26.020647,81.92,card
447,447,2024-08-17 12:33:30.522165,3498.85,card
448,448,2024-05-02 06:29:08.567714,1074.9,card
449,449,2024-09-15 09:37:32.030335,3574.07,cash
450,450,2024-04-04 07:09:06.731507,0,card
451,451,2024-06-13 22:16:18.363112,6927.76,cash
452,452,2024-04-19 10:46:33.798130,2678.78,card
453,453,2024-08-26 20:26:09.662214,6124.64,cash
454,454,2024-08-30 15:56:52.349401,5738.88,card
455,455,2024-08-28 04:46:03.975427,17696.9,card
456,456,2024-01-17 13:30:24.674775,6521.25,card
457,457,2024-06-07 21:42:52.714990,2871.52,card
458,458,2024-07-09 15:47:32.667205,1228.14,card
459,459,2024-08-21 08:18:39.919690,16180.86,cash
460,460,2024-01-27 02:10:34.080111,4640.11,cash
461,461,2023-10-28 23:27:58.223911,4540.64,cash
462,462,2024-08-05 21:43:49.434906,2807.15,card
463,463,2023-12-26 19:40:45.551489,2516.2,cash
464,464,2024-05-07 15:19:30.497600,6533.04,card
465,465,2023-10-24 09:32:07.063236,2889.92,card
466,466,2024-03-26 00:05:12.145621,2570.4,cash
467,467,2024-06-06 18:50:21.018142,0,card
468,468,2024-09-13 10:57:01.774791,544.39,card
469,469,2023-11-09 12:26:27.504016,2985.96,card
470,470,2023-10-17 19:05:37.807639,4325.73,card
471,471,2024-08-09 20:43:15.053945,697.75,cash
472,472,2024-02-16 06:50:11.285159,610.68,cash
473,473,2024-05-31 05:43:17.215195,4585.29,cash
474,474,2024-03-12 12:49:09.142586,1156.19,cash
475,475,2024-02-10 00:40:22.310629,4234.54,cash
476,476,2024-07-22 15:01:25.273695,3667.36,cash
477,477,2024-07-01 03:14:40.737848,2788.08,cash
478,478,2024-05-31 21:43:56.885167,283.61,card
479,479,2024-09-15 04:23:01.014581,524.26,card
480,480,2024-05-28 07:56:26.022171,2649.34,cash
481,481,2024-06-15 02:46:17.988003,691.29,card
482,482,2023-11-26 05:23:19.489470,2228.88,cash
483,483,2023-10-16 22:11:48.872042,5499.39,card
484,484,2024-06-13 07:56:10.119212,2056.34,card
485,485,2023-10-22 19:16:35.723573,286.92,cash
486,486,2023-12-12 18:47:40.944977,3256.43,cash
487,487,2024-06-01 23:56:04.984331,4775.48,card
488,488,2024-02-04 04:45:53.823138,0,card
489,489,2024-08-14 10:46:28.111198,820.71,card
490,490,2023-12-18 12:32:33.283984,4604.58,card
491,491,2023-11-26 09:41:30.033947,6061.42,cash
492,492,2024-05-16 18:12:24.624327,0,cash
493,493,2024-03-12 16:02:34.186386,7639.25,cash
494,494,2024-05-20 21:03:55.093623,8504.9,cash
495,495,2024-10-04 17:52:00.573676,2614.9,cash
496,496,2023-10-17 06:22:47.484408,2179.33,card
497,497,2024-03-23 11:06:16.363577,2668.14,card
498,498,2023-11-04 06:53:42.997687,0,cash
499,499,2024-07-25 11:19:16.396652,7774.59,card
500,500,2024-09-24 08:08:11.408392,2814.68,card
501,501,2024-06-05 15:50:09.577676,5740.36,cash
502,502,2024-03-08 17:05:59.156971,2750.81,card
503,503,2024-05-16 13:48:08.408468,3212.23,card
504,504,2024-06-17 07:13:00.309532,6478.3,card
505,505,2023-10-27 20:56:39.598523,3655.43,cash
506,506,2024-03-09 18:56:32.043567,6180.48,cash
507,507,2024-01-02 05:11:25.202543,8280.3,card
508,508,2024-09-15 21:49:29.916495,2370.56,cash
509,509,2024-03-10 02:20:28.736886,5343.26,card
510,510,2024-05-16 05:53:57.728298,7355.8,cash
511,511,2023-10-15 10:17:12.327439,6782.4,cash
512,512,2024-04-11 22:14:37.997667,9872.59,card
513,513,2024-05-05 22:21:02.556216,13455.62,card
